model,fold_kind,fold,target,n_train,n_test,r2,predictors
morphology predicts climate,year_block,1,mean_wind_speed_m_s,188048,49187,0.0004184943146692266,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,1,wind_present_fraction,188048,49187,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,2,mean_maximum_temperature_c,189410,47825,-0.04018158127348159,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,2,mean_minimum_temperature_c,189410,47825,0.00017818710179684505,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,2,mean_vpd_kpa,189410,47825,-0.08925252573405373,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,2,max_vpd_kpa,189410,47825,-0.028234925352428997,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,2,mean_wind_speed_m_s,189410,47825,-5.4066666338448144e-05,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,2,wind_present_fraction,189410,47825,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,3,mean_maximum_temperature_c,189308,47927,-0.0005753714127294529,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,3,mean_minimum_temperature_c,189308,47927,-0.017909194521335214,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,3,mean_vpd_kpa,189308,47927,-0.0003817055524752977,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,3,max_vpd_kpa,189308,47927,0.10371997972195957,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,3,mean_wind_speed_m_s,189308,47927,0.0008469452635826435,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,3,wind_present_fraction,189308,47927,,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,4,mean_maximum_temperature_c,196792,40443,-0.038815802868743754,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,4,mean_minimum_temperature_c,196792,40443,-0.015131377650425604,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,4,mean_vpd_kpa,196792,40443,-0.0397791021310645,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,4,max_vpd_kpa,196792,40443,0.03537071687983617,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,4,mean_wind_speed_m_s,196792,40443,-0.0003023677104871947,"morph_pc1,morph_pc2,morph_pc3"
morphology predicts climate,year_block,4,wind_present_fraction,196792,40443,,"morph_pc1,morph_pc2,morph_pc3"
