fire_id,anchor_event_type,anchor_observation_index,lag_observations,lag_days,activity_value,developmental_state,tmmx_c,tmmx_c_z_within_fire,tmmx_c_change,tmmn_c,tmmn_c_z_within_fire,tmmn_c_change,vpd_kpa,vpd_kpa_z_within_fire,vpd_kpa_change,wind_speed_m_s,wind_speed_m_s_z_within_fire,wind_speed_m_s_change
6833,final meaningful expansion,6,3,3.0,1.7172693863749096,quiescence,28.650000000000034,0.0532808756820883,-1.5,9.550000000000011,-0.21581230234248366,-0.9000000000000341,2.04,0.07861421841009937,-0.22999999999999998,3.9000000000000004,1.0366580948176358,1.2000000000000002
6833,transition into geometric quiescence,7,-3,-3.0,21.8951846762801,active expansion,29.05000000000001,0.2511812710726784,1.0,12.25,0.9495741303069025,2.1999999999999886,2.2,0.7895601935970775,0.27000000000000024,3.2,-0.035340616868782905,-0.2999999999999998
6833,transition into geometric quiescence,7,-2,-2.0,50.8741055713567,major expansion,27.350000000000023,-0.5898954093373716,-1.6999999999999886,9.650000000000034,-0.1726498418739779,-2.599999999999966,1.86,-0.72120000367525,-0.3400000000000001,2.9000000000000004,-0.494768636162962,-0.2999999999999998
6833,transition into geometric quiescence,7,-1,-1.0,28.9789208950766,major expansion,29.05000000000001,0.2511812710726784,1.6999999999999886,9.850000000000023,-0.08632492093699086,0.19999999999998863,2.04,0.07861421841009937,0.17999999999999994,3.4000000000000004,0.27094472932733693,0.5
6833,transition into geometric quiescence,7,0,0.0,8.58634693187455,quiescence,28.650000000000034,0.0532808756820883,-0.39999999999997726,9.650000000000034,-0.1726498418739779,-0.19999999999998863,2.0300000000000002,0.03418009496091423,-0.009999999999999787,3.0,-0.3416259630649028,-0.40000000000000036
6833,transition into geometric quiescence,7,1,1.0,3.434538772749819,quiescence,30.150000000000034,0.7954073583968433,1.5,10.450000000000045,0.17264984187399476,0.8000000000000114,2.27,1.1005990577413793,0.23999999999999977,2.7,-0.8010539823590819,-0.2999999999999998
6833,transition into geometric quiescence,7,2,2.0,1.7172693863749096,quiescence,28.650000000000034,0.0532808756820883,-1.5,9.550000000000011,-0.21581230234248366,-0.9000000000000341,2.04,0.07861421841009937,-0.22999999999999998,3.9000000000000004,1.0366580948176358,1.2000000000000002
6833,transition into geometric quiescence,7,3,3.0,0.6439760198905912,quiescence,26.150000000000034,-1.18359659550917,-2.5,7.850000000000023,-0.9495741303069102,-1.6999999999999886,1.74,-1.2544094850654837,-0.30000000000000004,3.9000000000000004,1.0366580948176358,0.0
6833,terminal observed record,12,-3,-3.0,1.7172693863749096,quiescence,28.650000000000034,0.0532808756820883,-1.5,9.550000000000011,-0.21581230234248366,-0.9000000000000341,2.04,0.07861421841009937,-0.22999999999999998,3.9000000000000004,1.0366580948176358,1.2000000000000002
6833,terminal observed record,12,-2,-2.0,0.6439760198905912,quiescence,26.150000000000034,-1.18359659550917,-2.5,7.850000000000023,-0.9495741303069102,-1.6999999999999886,1.74,-1.2544094850654837,-0.30000000000000004,3.9000000000000004,1.0366580948176358,0.0
