fire_id,final_area_km2,observation_count,observed_duration_days,candidate_event_window_days,number_of_active_observations,active_fraction,peak_expansion_magnitude_km2,timing_of_peak_expansion_relative_age,final_meaningful_expansion_relative_age,number_of_expansion_pulses,pulse_prominence_km2,pulse_duration_observations,median_inter_pulse_interval_observations,amount_of_growth_in_largest_pulse_km2,fraction_final_area_accumulated_before_peak,fraction_final_area_accumulated_during_largest_pulse,fraction_final_area_accumulated_after_final_major_pulse,quiescent_persistence_observations,reactivation_count,terminal_taper_fraction_of_peak,growth_asymmetry_decline_minus_rise_km2,geometric_trajectory_length_km2,space_time_volume_km2_days,maximum_vase_width_km,mean_compactness,max_gap_days,terminal_observed_record_lag_after_final_meaningful_expansion_observations,terminal_observed_record_lag_after_final_meaningful_expansion_days,selected_profile
21125,17.38735253704596,10,12.0,13,6,0.6,4.722490812531002,0.5,0.75,2,3.219880099452956,2,3.0,4.722490812531002,1.0,0.271604938271605,0.0,2,0,0.04545454545454545,0.0,12.450203051218095,208.6482304445515,12.04813062972948,0.3098301967746131,3,2,3.0,Profile B
21180,16.74337651715537,8,8.0,9,5,0.625,6.010442852312184,0.375,0.75,1,4.185844129288842,1,,6.010442852312184,1.0,0.358974358974359,0.0,2,0,0.03571428571428571,0.2146586732968636,11.376909684733775,133.94701213724295,11.584817913198844,0.2601860961815361,2,2,2.0,Profile B
22687,19.74859794331146,8,7.0,8,3,0.375,8.58634693187455,0.14285714285714285,0.42857142857142855,2,7.083736218796504,2,2.0,8.58634693187455,1.0,0.4347826086956523,0.0,4,0,0.024999999999999994,0.4293173465937272,20.607232636498917,138.24018560318024,8.804941614031792,0.31104692794705135,1,4,4.0,Profile B
22708,14.596789784186733,7,7.0,8,3,0.42857142857142855,5.581125505718457,0.42857142857142855,0.5714285714285714,1,4.722490812531002,1,,5.581125505718457,1.0,0.38235294117647056,0.0,2,0,0.03846153846153846,0.2146586732968636,10.51827499154632,102.17752848930714,5.561752598334103,0.4022042468175581,2,2,3.0,Profile B
23980,2.5759040795623647,7,13.0,14,7,1.0,0.8586346931874548,0.38461538461538464,1.0,3,0.6439760198905911,3,2.5,0.8586346931874548,1.0,0.3333333333333333,0.0,0,0,0.25,0.0,2.146586732968637,33.48675303431074,1.855250866111368,0.6485156704253182,5,0,0.0,Profile B
25068,1.2879520397811823,5,13.0,14,5,1.0,0.4293173465937274,0.0,1.0,4,0.2146586732968637,4,1.0,0.4293173465937274,1.0,0.3333333333333333,0.0,0,0,0.5,0.2146586732968637,0.2146586732968637,16.74337651715537,0.9286254330575466,0.7680448939714835,5,0,0.0,Profile B
25138,9.87429897165573,14,17.0,18,7,0.5,1.9319280596717732,0.29411764705882354,1.0,3,1.395281376429614,3,4.5,1.9319280596717732,1.0,0.1956521739130435,0.0,0,0,0.4444444444444445,-0.6439760198905911,4.937149485827865,167.8630825181474,5.561752598335967,0.44699201912363035,2,0,0.0,Profile B
25563,2.146586732968637,6,8.0,9,6,1.0,0.6439760198905912,0.0,1.0,4,0.32198800994529564,4,2.0,0.6439760198905912,1.0,0.30000000000000004,0.0,0,0,0.3333333333333333,0.42931734659372744,0.42931734659372744,17.172693863749096,1.8552508661132305,0.6221959727471645,3,0,0.0,Profile B
25615,1.9319280596717732,5,8.0,9,5,1.0,0.8586346931874548,0.375,1.0,3,0.6439760198905911,3,2.0,0.8586346931874548,1.0,0.4444444444444445,0.0,0,0,0.5,-0.21465867329686367,1.5026107130780457,15.455424477374185,1.39193814958632,0.7116910062376626,3,0,0.0,Profile B
25861,6.654418872202775,8,15.0,16,5,0.625,2.146586732968637,0.5333333333333333,0.5333333333333333,2,1.395281376429614,2,3.0,2.146586732968637,1.0,0.3225806451612903,0.0,3,0,0.09999999999999999,0.42931734659372767,3.863856119343547,99.81628308304161,4.171814448751975,0.3974226379851246,4,3,7.0,Profile B
