kind,fold,stage,feature,center,scale,train_n,pc1_loading,pc1_evr
random_fire,2,length_plus_core_max,log_duration,1.61851068635,0.31998490858,7312,,
random_fire,2,length_plus_core_max,log_observations,1.61851068635,0.31998490858,7312,,
random_fire,2,length_plus_core_max,mean_maximum_temperature_c,25.6242173351,7.31564399934,7312,,
random_fire,2,length_plus_core_max,mean_minimum_temperature_c,10.1617512322,7.36153604302,7312,,
random_fire,2,length_plus_core_max,mean_vpd_kpa,1.34921574196,0.748228196195,7312,,
random_fire,2,length_plus_core_max,mean_wind_speed_m_s,3.93146407491,1.2735487887,7312,,
random_fire,2,length_plus_core_max,max_vpd,1.634577407,0.852027596335,7312,,
random_fire,2,core_quantile_exceedance,mean_maximum_temperature_c,25.6242173351,7.31564399934,7312,,
random_fire,2,core_quantile_exceedance,mean_minimum_temperature_c,10.1617512322,7.36153604302,7312,,
random_fire,2,core_quantile_exceedance,mean_vpd_kpa,1.34921574196,0.748228196195,7312,,
random_fire,2,core_quantile_exceedance,mean_wind_speed_m_s,3.93146407491,1.2735487887,7312,,
random_fire,2,core_quantile_exceedance,q90_vpd,1.57289359956,0.825242342831,7312,,
random_fire,2,core_quantile_exceedance,vpd_gt_2_fraction,0.187723942933,0.341058564794,7312,,
random_fire,2,core_quantile_exceedance,wet_fraction,0.155187875792,0.229108368379,7312,,
random_fire,3,outcome_pca,allocation_00,0.0462126447125,0.0335228974035,7428,-0.185825544453,0.342140274076
random_fire,3,outcome_pca,allocation_01,0.0464955919726,0.0334847673435,7428,-0.189215997386,0.342140274076
random_fire,3,outcome_pca,allocation_02,0.0480709276521,0.0343752049373,7428,-0.207290740249,0.342140274076
random_fire,3,outcome_pca,allocation_03,0.0509860858334,0.0368385340941,7428,-0.231514974877,0.342140274076
random_fire,3,outcome_pca,allocation_04,0.0553739674554,0.0413180843614,7428,-0.244471462176,0.342140274076
random_fire,3,outcome_pca,allocation_05,0.059849092426,0.0423784956576,7428,-0.243330728584,0.342140274076
random_fire,3,outcome_pca,allocation_06,0.0601939201884,0.0375014367164,7428,-0.22815066131,0.342140274076
random_fire,3,outcome_pca,allocation_07,0.060279975784,0.0407295811804,7428,-0.127822691762,0.342140274076
random_fire,3,outcome_pca,allocation_08,0.0591943887893,0.0391387900649,7428,-0.0795480338765,0.342140274076
random_fire,3,outcome_pca,allocation_09,0.0589630319729,0.0402634673131,7428,-0.0651679782627,0.342140274076
random_fire,3,outcome_pca,allocation_10,0.0545284365247,0.0363274199016,7428,0.0539141665526,0.342140274076
random_fire,3,outcome_pca,allocation_11,0.0538410017093,0.0347259061854,7428,0.0716043268763,0.342140274076
random_fire,3,outcome_pca,allocation_12,0.0515246321268,0.033824810732,7428,0.116194307833,0.342140274076
random_fire,3,outcome_pca,allocation_13,0.0485206291044,0.0283796400603,7428,0.251337670969,0.342140274076
random_fire,3,outcome_pca,allocation_14,0.0464014641157,0.0312017133172,7428,0.277331614426,0.342140274076
random_fire,3,outcome_pca,allocation_15,0.0425172863497,0.0298673416462,7428,0.303811503183,0.342140274076
random_fire,3,outcome_pca,allocation_16,0.0403813827681,0.0283366897354,7428,0.312435017671,0.342140274076
random_fire,3,outcome_pca,allocation_17,0.0392389409972,0.0280959434307,7428,0.310349209195,0.342140274076
