kind,predictor_set,stratum,value,n,r2,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
random_fire,weather_only,season,MAM,20363,0.0422528597068,-0.31129201303,fire_id,8398,0.0277075267975,0.0577310373394,-0.345197946946,-0.273700524945
random_fire,weather_only,season,SON,24909,-0.0144043133083,-0.391850092883,fire_id,9857,-0.05075349912,0.0191953998707,-0.413788385482,-0.369852586156
random_fire,weather_only,size_class,"(0.0, 1.0]",1947,-113.064445448,-105.688565457,fire_id,1838,-124.987929673,-103.195981293,-116.655943989,-96.4770846944
random_fire,weather_only,size_class,"(1.0, 10.0]",46640,-1.11641893392,-0.862144004907,fire_id,23072,-1.15650930443,-1.06482885958,-0.904086732426,-0.818907947931
random_fire,weather_only,size_class,"(10.0, 100.0]",31106,-0.0356456959727,-0.113350812911,fire_id,6160,-0.0446062012031,-0.0264043705188,-0.128536892152,-0.0975829097056
random_fire,weather_only,size_class,"(100.0, 1000.0]",7652,-0.662396983794,-0.96754989993,fire_id,599,-0.718411414935,-0.607853886743,-1.02319128599,-0.919552321543
random_fire,weather_only,size_class,"(1000.0, inf]",599,-1.54988456481,-1.92939195839,fire_id,31,-2.17346001212,-1.1319314002,-2.45669050262,-1.55800051803
random_fire,weather_only,observation_quality,consecutive_history,21677,0.0869106104256,-0.377953757882,fire_id,9212,0.0714328775634,0.100272725496,-0.4008603187,-0.353422428141
random_fire,weather_only,observation_quality,history_has_gaps,66267,0.0816043609646,-0.374081651593,fire_id,22488,0.0717142459675,0.0907797332647,-0.394147342716,-0.353019486453
region_block,autoregressive,region,central,24323,0.143775983067,0,fire_id,10105,0.110686903356,0.172942993534,0,0
region_block,autoregressive,region,east,17224,0.305536492691,0,fire_id,6575,0.218562043094,0.409799880199,0,0
region_block,autoregressive,region,intermountain,23399,0.399563374997,0,fire_id,8866,0.369124622415,0.427177889821,0,0
region_block,autoregressive,region,west,22998,0.484663786997,0,fire_id,6154,0.463767752892,0.508026404261,0,0
region_block,autoregressive,season,DJF,12759,0.133906375198,0,fire_id,5237,0.0681612562356,0.214648095992,0,0
region_block,autoregressive,season,JJA,29913,0.495751572676,0,fire_id,8208,0.472345542615,0.514281636218,0,0
region_block,autoregressive,season,MAM,20363,0.350234498289,0,fire_id,8398,0.306868152707,0.384126330751,0,0
region_block,autoregressive,season,SON,24909,0.366955323423,0,fire_id,9857,0.326447996169,0.407008160657,0,0
region_block,autoregressive,size_class,"(0.0, 1.0]",1947,-7.52475923425,0,fire_id,1838,-8.38413354755,-6.74218343017,0,0
region_block,autoregressive,size_class,"(1.0, 10.0]",46640,-0.262333677414,0,fire_id,23072,-0.276510370148,-0.244013419267,0,0
region_block,autoregressive,size_class,"(10.0, 100.0]",31106,0.0740419928497,0,fire_id,6160,0.0599086178421,0.0891875137469,0,0
region_block,autoregressive,size_class,"(100.0, 1000.0]",7652,0.271816917787,0,fire_id,599,0.239557885481,0.294139503343,0,0
region_block,autoregressive,size_class,"(1000.0, inf]",599,0.308673063361,0,fire_id,31,0.165615931764,0.383391429962,0,0
region_block,autoregressive,observation_quality,consecutive_history,21677,0.457123240214,0,fire_id,9212,0.42595794213,0.484597781158,0,0
region_block,autoregressive,observation_quality,history_has_gaps,66267,0.443716333279,0,fire_id,22488,0.421012689713,0.465624920503,0,0
region_block,mean_only,region,central,24323,-0.363422468571,-0.507198451639,fire_id,10105,-0.411186513887,-0.322386267806,-0.54168642598,-0.480137690137
region_block,mean_only,region,east,17224,-0.356301361951,-0.661837854641,fire_id,6575,-0.454828890598,-0.257181345357,-0.707891071793,-0.625806027694
region_block,mean_only,region,intermountain,23399,-0.0337058603095,-0.433269235307,fire_id,8866,-0.0422357420441,-0.0258258746654,-0.469013816067,-0.39857363701
