i,j,fire_id_a,fire_id_b,match_distance,caliper,k,metric,log_area_distance,weather_distance,morphology_distance,matching_space,duration_days_a,duration_days_b,observation_count_a,observation_count_b,catalog_area_km2_a,catalog_area_km2_b,region_a,region_b,season_a,season_b,start_date_a,start_date_b,end_date_a,end_date_b,mean_maximum_temperature_c_a,mean_maximum_temperature_c_b,mean_minimum_temperature_c_a,mean_minimum_temperature_c_b,mean_vpd_kpa_a,mean_vpd_kpa_b,mean_wind_speed_m_s_a,mean_wind_speed_m_s_b
2930,7969,223148,436782,0.301676010735,0.5,10,euclidean,0.0800427076735,0.301676010735,0.76081289062,weather,3,3,3,3,2.57590407956,2.79056275286,central,central,DJF,DJF,2010-12-16,2020-12-19,2010-12-18,2020-12-21,15.8833333333,16.3166666667,6.71666666667,5.48333333333,0.366666666667,0.383333333333,5,4.26666666667
2017,4546,184295,287174,0.301875758036,0.5,10,euclidean,0.23901690047,0.301875758036,0.566213684284,weather,7,7,7,7,21.4658673297,27.2616515087,intermountain,intermountain,MAM,MAM,2009-04-08,2014-03-19,2009-04-14,2014-03-25,14.7357142857,16.8928571429,2.49285714286,1.15,0.594285714286,0.904285714286,5.2,4.85714285714
6754,7096,389299,403721,0.30206401376,0.5,10,euclidean,0.405465108108,0.30206401376,1.17355118696,weather,3,3,3,3,1.28795203978,1.93192805967,intermountain,intermountain,JJA,JJA,2018-08-17,2019-06-08,2018-08-19,2019-06-10,28.8166666667,30.5833333333,14.1833333333,18.1833333333,1.05333333333,1.14,4.76666666667,4.76666666667
1157,6726,146931,388038,0.302084283608,0.5,10,euclidean,0.622529613346,0.302084283608,2.53748819307,weather,5,5,5,5,23.6124540627,44.0050280259,west,west,JJA,JJA,2007-08-07,2018-08-01,2007-08-11,2018-08-05,27.27,27.89,12.17,12.81,1.928,1.646,3.72,4.3
678,2692,126829,21542,0.302089208813,0.5,10,euclidean,0.446287102628,0.302089208813,3.4196107396,weather,5,5,5,5,10.3036163182,16.0994004973,intermountain,intermountain,JJA,JJA,2006-08-05,2002-07-16,2006-08-09,2002-07-20,30.53,28.93,15.53,15.31,2.252,1.832,2.76,2.78
3940,4725,257953,293563,0.302226114707,0.5,10,euclidean,0.628608659422,0.302226114707,1.07948671703,weather,4,4,4,4,1.71726938637,3.21988009945,west,west,JJA,JJA,2012-08-25,2014-07-15,2012-08-28,2014-07-18,31.425,31.525,11.85,14.05,2.2575,2.1175,4.725,4.1
3727,6069,251226,361236,0.302253392434,0.5,10,euclidean,0.470003629246,0.302253392434,1.03596160076,weather,3,3,3,3,1.07329336648,1.71726938637,intermountain,intermountain,MAM,MAM,2012-04-27,2017-04-28,2012-04-29,2017-04-30,30.0833333333,29.2166666667,18.3166666667,16.1166666667,1.13,0.98,7.16666666667,6.56666666667
1498,7034,160208,400725,0.302611740625,0.5,10,euclidean,0.510825623766,0.302611740625,0.380126322152,weather,3,3,3,3,1.07329336648,0.643976019891,intermountain,intermountain,MAM,MAM,2008-04-05,2019-04-10,2008-04-07,2019-04-12,15.7833333333,17.9833333333,1.65,1.55,0.67,0.64,6.5,7.16666666667
37,639,101355,126068,0.302831613715,0.5,10,euclidean,0.612079357471,0.302831613715,2.42131219287,weather,5,5,5,5,26.1883581422,48.2982014918,west,west,JJA,JJA,2005-07-22,2006-07-25,2005-07-26,2006-07-29,36.17,35.83,23.31,19.75,3.128,3.212,3.26,2.82
7932,7936,435689,435739,0.303026671324,0.5,10,euclidean,0.69314718056,0.303026671324,0.39836397722,weather,3,3,3,3,1.71726938637,0.858634693187,west,west,SON,SON,2020-11-16,2020-11-17,2020-11-18,2020-11-19,16.35,14.05,3.95,2.81666666667,0.993333333333,0.88,5.36666666667,4.76666666667
