fire_id,timestamp,_merge,in_event_catalog,reason
190125,2009-06-24,left_only,False,daily_id_absent_from_event_catalog
190125,2009-06-25,left_only,False,daily_id_absent_from_event_catalog
190125,2009-06-26,left_only,False,daily_id_absent_from_event_catalog
190125,2009-06-27,left_only,False,daily_id_absent_from_event_catalog
190125,2009-06-29,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-04,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-05,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-06,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-07,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-08,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-09,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-12,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-13,left_only,False,daily_id_absent_from_event_catalog
190933,2009-07-15,left_only,False,daily_id_absent_from_event_catalog
191137,2009-07-07,left_only,False,daily_id_absent_from_event_catalog
191137,2009-07-08,left_only,False,daily_id_absent_from_event_catalog
191137,2009-07-15,left_only,False,daily_id_absent_from_event_catalog
19126,2002-06-13,left_only,False,daily_id_absent_from_event_catalog
19126,2002-06-19,left_only,False,daily_id_absent_from_event_catalog
19126,2002-06-20,left_only,False,daily_id_absent_from_event_catalog
19126,2002-06-22,left_only,False,daily_id_absent_from_event_catalog
19127,2002-06-19,left_only,False,daily_id_absent_from_event_catalog
192400,2009-07-22,left_only,False,daily_id_absent_from_event_catalog
192400,2009-07-24,left_only,False,daily_id_absent_from_event_catalog
192400,2009-07-25,left_only,False,daily_id_absent_from_event_catalog
192400,2009-07-26,left_only,False,daily_id_absent_from_event_catalog
192400,2009-07-27,left_only,False,daily_id_absent_from_event_catalog
192400,2009-07-28,left_only,False,daily_id_absent_from_event_catalog
192400,2009-08-06,left_only,False,daily_id_absent_from_event_catalog
192400,2009-08-08,left_only,False,daily_id_absent_from_event_catalog
192400,2009-08-10,left_only,False,daily_id_absent_from_event_catalog
198947,2009-10-15,left_only,False,daily_id_absent_from_event_catalog
198947,2009-10-16,left_only,False,daily_id_absent_from_event_catalog
198947,2009-10-18,left_only,False,daily_id_absent_from_event_catalog
198947,2009-10-20,left_only,False,daily_id_absent_from_event_catalog
198947,2009-10-21,left_only,False,daily_id_absent_from_event_catalog
198947,2009-10-25,left_only,False,daily_id_absent_from_event_catalog
203471,2010-03-08,left_only,False,daily_id_absent_from_event_catalog
203471,2010-03-09,left_only,False,daily_id_absent_from_event_catalog
203471,2010-03-11,left_only,False,daily_id_absent_from_event_catalog
207071,2010-05-19,left_only,False,daily_id_absent_from_event_catalog
212578,2010-08-11,left_only,False,daily_id_absent_from_event_catalog
212578,2010-08-12,left_only,False,daily_id_absent_from_event_catalog
212578,2010-08-13,left_only,False,daily_id_absent_from_event_catalog
218163,2010-09-27,left_only,False,daily_id_absent_from_event_catalog
219422,2010-10-04,left_only,False,daily_id_absent_from_event_catalog
219422,2010-10-07,left_only,False,daily_id_absent_from_event_catalog
219422,2010-10-08,left_only,False,daily_id_absent_from_event_catalog
219422,2010-10-09,left_only,False,daily_id_absent_from_event_catalog
220892,2010-10-22,left_only,False,daily_id_absent_from_event_catalog
221874,2010-11-06,left_only,False,daily_id_absent_from_event_catalog
221874,2010-11-07,left_only,False,daily_id_absent_from_event_catalog
221874,2010-11-09,left_only,False,daily_id_absent_from_event_catalog
221874,2010-11-10,left_only,False,daily_id_absent_from_event_catalog
221874,2010-11-11,left_only,False,daily_id_absent_from_event_catalog
222221,2010-11-19,left_only,False,daily_id_absent_from_event_catalog
222221,2010-11-20,left_only,False,daily_id_absent_from_event_catalog
222221,2010-11-21,left_only,False,daily_id_absent_from_event_catalog
222221,2010-11-24,left_only,False,daily_id_absent_from_event_catalog
222443,2010-12-01,left_only,False,daily_id_absent_from_event_catalog
222443,2010-12-03,left_only,False,daily_id_absent_from_event_catalog
223314,2010-12-28,left_only,False,daily_id_absent_from_event_catalog
223314,2010-12-30,left_only,False,daily_id_absent_from_event_catalog
223314,2010-12-31,left_only,False,daily_id_absent_from_event_catalog
223314,2011-01-01,left_only,False,daily_id_absent_from_event_catalog
223953,2011-01-31,left_only,False,daily_id_absent_from_event_catalog
224268,2011-02-07,left_only,False,daily_id_absent_from_event_catalog
224268,2011-02-08,left_only,False,daily_id_absent_from_event_catalog
224268,2011-02-09,left_only,False,daily_id_absent_from_event_catalog
224268,2011-02-10,left_only,False,daily_id_absent_from_event_catalog
224268,2011-02-13,left_only,False,daily_id_absent_from_event_catalog
225002,2011-02-17,left_only,False,daily_id_absent_from_event_catalog
225027,2011-02-16,left_only,False,daily_id_absent_from_event_catalog
225027,2011-02-21,left_only,False,daily_id_absent_from_event_catalog
226212,2011-03-08,left_only,False,daily_id_absent_from_event_catalog
226212,2011-03-09,left_only,False,daily_id_absent_from_event_catalog
226212,2011-03-13,left_only,False,daily_id_absent_from_event_catalog
226212,2011-03-14,left_only,False,daily_id_absent_from_event_catalog
226212,2011-03-19,left_only,False,daily_id_absent_from_event_catalog
226385,2011-03-15,left_only,False,daily_id_absent_from_event_catalog
226405,2011-03-11,left_only,False,daily_id_absent_from_event_catalog
226405,2011-03-12,left_only,False,daily_id_absent_from_event_catalog
226405,2011-03-13,left_only,False,daily_id_absent_from_event_catalog
226405,2011-03-15,left_only,False,daily_id_absent_from_event_catalog
226407,2011-03-16,left_only,False,daily_id_absent_from_event_catalog
226407,2011-03-17,left_only,False,daily_id_absent_from_event_catalog
227918,2011-04-05,left_only,False,daily_id_absent_from_event_catalog
22890,2002-08-12,left_only,False,daily_id_absent_from_event_catalog
22890,2002-08-13,left_only,False,daily_id_absent_from_event_catalog
230272,2011-04-18,left_only,False,daily_id_absent_from_event_catalog
230550,2011-04-21,left_only,False,daily_id_absent_from_event_catalog
230550,2011-04-22,left_only,False,daily_id_absent_from_event_catalog
230944,2011-04-27,left_only,False,daily_id_absent_from_event_catalog
231063,2011-05-04,left_only,False,daily_id_absent_from_event_catalog
233841,2011-05-26,left_only,False,daily_id_absent_from_event_catalog
234329,2011-05-31,left_only,False,daily_id_absent_from_event_catalog
234329,2011-06-01,left_only,False,daily_id_absent_from_event_catalog
234394,2011-06-01,left_only,False,daily_id_absent_from_event_catalog
234394,2011-06-02,left_only,False,daily_id_absent_from_event_catalog
234394,2011-06-03,left_only,False,daily_id_absent_from_event_catalog
234394,2011-06-13,left_only,False,daily_id_absent_from_event_catalog
234394,2011-06-14,left_only,False,daily_id_absent_from_event_catalog
234415,2011-06-01,left_only,False,daily_id_absent_from_event_catalog
234415,2011-06-02,left_only,False,daily_id_absent_from_event_catalog
234415,2011-06-03,left_only,False,daily_id_absent_from_event_catalog
234415,2011-06-04,left_only,False,daily_id_absent_from_event_catalog
234415,2011-06-05,left_only,False,daily_id_absent_from_event_catalog
234415,2011-06-06,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-17,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-18,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-19,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-20,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-21,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-22,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-23,left_only,False,daily_id_absent_from_event_catalog
235283,2011-06-26,left_only,False,daily_id_absent_from_event_catalog
236289,2011-07-09,left_only,False,daily_id_absent_from_event_catalog
236289,2011-07-10,left_only,False,daily_id_absent_from_event_catalog
236289,2011-07-11,left_only,False,daily_id_absent_from_event_catalog
236289,2011-07-12,left_only,False,daily_id_absent_from_event_catalog
236289,2011-07-13,left_only,False,daily_id_absent_from_event_catalog
236350,2011-07-07,left_only,False,daily_id_absent_from_event_catalog
238438,2011-08-27,left_only,False,daily_id_absent_from_event_catalog
238438,2011-08-29,left_only,False,daily_id_absent_from_event_catalog
238438,2011-08-31,left_only,False,daily_id_absent_from_event_catalog
238438,2011-09-03,left_only,False,daily_id_absent_from_event_catalog
239292,2011-09-05,left_only,False,daily_id_absent_from_event_catalog
239292,2011-09-07,left_only,False,daily_id_absent_from_event_catalog
239292,2011-09-09,left_only,False,daily_id_absent_from_event_catalog
239292,2011-09-18,left_only,False,daily_id_absent_from_event_catalog
245566,2011-11-25,left_only,False,daily_id_absent_from_event_catalog
245566,2011-11-27,left_only,False,daily_id_absent_from_event_catalog
245614,2011-11-29,left_only,False,daily_id_absent_from_event_catalog
245614,2011-11-30,left_only,False,daily_id_absent_from_event_catalog
246590,2012-01-06,left_only,False,daily_id_absent_from_event_catalog
246590,2012-01-08,left_only,False,daily_id_absent_from_event_catalog
246590,2012-01-12,left_only,False,daily_id_absent_from_event_catalog
246590,2012-01-14,left_only,False,daily_id_absent_from_event_catalog
246801,2012-01-20,left_only,False,daily_id_absent_from_event_catalog
246884,2012-01-28,left_only,False,daily_id_absent_from_event_catalog
246969,2012-01-30,left_only,False,daily_id_absent_from_event_catalog
246969,2012-01-31,left_only,False,daily_id_absent_from_event_catalog
246969,2012-02-01,left_only,False,daily_id_absent_from_event_catalog
246969,2012-02-03,left_only,False,daily_id_absent_from_event_catalog
246969,2012-02-06,left_only,False,daily_id_absent_from_event_catalog
248270,2012-03-04,left_only,False,daily_id_absent_from_event_catalog
248270,2012-03-08,left_only,False,daily_id_absent_from_event_catalog
248270,2012-03-11,left_only,False,daily_id_absent_from_event_catalog
248305,2012-03-10,left_only,False,daily_id_absent_from_event_catalog
251909,2012-05-13,left_only,False,daily_id_absent_from_event_catalog
253490,2012-06-15,left_only,False,daily_id_absent_from_event_catalog
255204,2012-07-16,left_only,False,daily_id_absent_from_event_catalog
255204,2012-07-22,left_only,False,daily_id_absent_from_event_catalog
255204,2012-07-23,left_only,False,daily_id_absent_from_event_catalog
255204,2012-07-24,left_only,False,daily_id_absent_from_event_catalog
255335,2012-07-18,left_only,False,daily_id_absent_from_event_catalog
256303,2012-08-02,left_only,False,daily_id_absent_from_event_catalog
256303,2012-08-07,left_only,False,daily_id_absent_from_event_catalog
256303,2012-08-21,left_only,False,daily_id_absent_from_event_catalog
256303,2012-08-22,left_only,False,daily_id_absent_from_event_catalog
261482,2012-10-14,left_only,False,daily_id_absent_from_event_catalog
261482,2012-10-16,left_only,False,daily_id_absent_from_event_catalog
261482,2012-10-17,left_only,False,daily_id_absent_from_event_catalog
261482,2012-10-21,left_only,False,daily_id_absent_from_event_catalog
261482,2012-10-23,left_only,False,daily_id_absent_from_event_catalog
26170,2002-09-24,left_only,False,daily_id_absent_from_event_catalog
26170,2002-09-26,left_only,False,daily_id_absent_from_event_catalog
263021,2012-11-25,left_only,False,daily_id_absent_from_event_catalog
263021,2012-11-26,left_only,False,daily_id_absent_from_event_catalog
263021,2012-11-28,left_only,False,daily_id_absent_from_event_catalog
263021,2012-11-30,left_only,False,daily_id_absent_from_event_catalog
265392,2013-02-13,left_only,False,daily_id_absent_from_event_catalog
265603,2013-02-18,left_only,False,daily_id_absent_from_event_catalog
265603,2013-02-21,left_only,False,daily_id_absent_from_event_catalog
265909,2013-02-24,left_only,False,daily_id_absent_from_event_catalog
265909,2013-02-28,left_only,False,daily_id_absent_from_event_catalog
269452,2013-04-04,left_only,False,daily_id_absent_from_event_catalog
269452,2013-04-05,left_only,False,daily_id_absent_from_event_catalog
269452,2013-04-06,left_only,False,daily_id_absent_from_event_catalog
270530,2013-04-29,left_only,False,daily_id_absent_from_event_catalog
270530,2013-05-01,left_only,False,daily_id_absent_from_event_catalog
270530,2013-05-07,left_only,False,daily_id_absent_from_event_catalog
276557,2013-07-31,left_only,False,daily_id_absent_from_event_catalog
276557,2013-08-02,left_only,False,daily_id_absent_from_event_catalog
285363,2014-02-27,left_only,False,daily_id_absent_from_event_catalog
28897,2002-12-23,left_only,False,daily_id_absent_from_event_catalog
28897,2002-12-24,left_only,False,daily_id_absent_from_event_catalog
290987,2014-05-26,left_only,False,daily_id_absent_from_event_catalog
29393,2003-01-14,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-04,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-05,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-06,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-08,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-10,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-11,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-12,left_only,False,daily_id_absent_from_event_catalog
295870,2014-08-14,left_only,False,daily_id_absent_from_event_catalog
29646,2003-01-18,left_only,False,daily_id_absent_from_event_catalog
29646,2003-01-22,left_only,False,daily_id_absent_from_event_catalog
