kind,alpha,predictor_set,response,n,cohort_n,cohort_hash,r2,reference,delta_r2,status,stratum_variable,stratum_value
region_block,1,mean_only,normalized_first_difference,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.0177675492243,mean_only,0,evaluated,duration_days,4
region_block,1,mean_only,normalized_second_difference,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.0178517192829,mean_only,0,evaluated,duration_days,4
region_block,1,core_means,front_loaded_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.0085115505949,mean_only,0.0117177272224,evaluated,duration_days,4
region_block,1,core_means,late_growth_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.0152039154474,mean_only,0.0202519772224,evaluated,duration_days,4
region_block,1,core_means,peak_timing,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.00265834059715,mean_only,0.00302646567269,evaluated,duration_days,4
region_block,1,core_means,terminal_taper_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.02727352496,mean_only,0.0374639351423,evaluated,duration_days,4
region_block,1,core_means,normalized_entropy,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.0449650450066,mean_only,0.0639046385658,evaluated,duration_days,4
region_block,1,core_means,pulse_count,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.0002544127958,mean_only,0.000370402179402,evaluated,duration_days,4
region_block,1,core_means,reactivation_count,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.00153408335345,mean_only,-0.00138289195356,evaluated,duration_days,4
region_block,1,core_means,normalized_first_difference,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.0411421732447,mean_only,0.0589097224691,evaluated,duration_days,4
region_block,1,core_means,normalized_second_difference,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.0436445488696,mean_only,0.0614962681525,evaluated,duration_days,4
region_block,1,max_vpd_only,front_loaded_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.00608763479336,mean_only,0.00929381142086,evaluated,duration_days,4
region_block,1,max_vpd_only,late_growth_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.00582573957547,mean_only,0.0108738013505,evaluated,duration_days,4
region_block,1,max_vpd_only,peak_timing,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.000520266929162,mean_only,0.000888392004709,evaluated,duration_days,4
region_block,1,max_vpd_only,terminal_taper_fraction,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.00150435846501,mean_only,0.0116947686473,evaluated,duration_days,4
region_block,1,max_vpd_only,normalized_entropy,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.00870167843007,mean_only,0.0102379151291,evaluated,duration_days,4
region_block,1,max_vpd_only,pulse_count,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-3.5297886656e-05,mean_only,8.0691496946e-05,evaluated,duration_days,4
region_block,1,max_vpd_only,reactivation_count,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,-0.000330535095983,mean_only,-0.000179343696088,evaluated,duration_days,4
region_block,1,max_vpd_only,normalized_first_difference,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.000469737864695,mean_only,0.018237287089,evaluated,duration_days,4
region_block,1,max_vpd_only,normalized_second_difference,7376,7376,4ae36c4ec3de2fb41a2b26cc656c9819b1f21c8e3f6838870ab1bf59b6698708,0.00924606623477,mean_only,0.0270977855177,evaluated,duration_days,4
