rep,feature,PC1,PC2,PC3,PC4,PC5
6,allocation_02,-0.195939398021,-0.295079282536,-0.214046648709,-0.14590171762,-0.137063903142
6,allocation_03,-0.222212648122,-0.270831796148,-0.134823727474,0.00667683534116,0.135649952735
6,allocation_04,-0.235066214331,-0.191469945128,0.0395248433443,0.2388112924,0.401177883496
6,allocation_05,-0.236740548884,-0.0376018480382,0.302740606819,0.345905750901,0.182485452116
6,allocation_06,-0.23027654969,0.0829415180764,0.357637446348,0.268644741296,-0.0236871941629
6,allocation_07,-0.139876817777,0.262233323808,0.29118833819,0.00521344403853,-0.25729145726
6,allocation_08,-0.0980969917676,0.3230933864,0.146376261218,-0.307627059053,-0.230338118853
6,allocation_09,-0.0826491062816,0.320890557005,0.0963749921977,-0.339983779753,-0.161441820023
6,allocation_10,0.034593804061,0.298526503802,-0.289130926609,-0.136031760307,0.372541503084
6,allocation_11,0.049659976024,0.297044259184,-0.320802627167,-0.0816741757198,0.354835663961
6,allocation_12,0.104559419717,0.229211554519,-0.346661924105,0.21767453359,-0.0201315069402
6,allocation_13,0.24934877959,0.0912647163228,-0.251195862121,0.385810263009,-0.244556993457
6,allocation_14,0.27827965102,-0.0137367249893,-0.125005334145,0.364533788891,-0.295030969393
6,allocation_15,0.312163024511,-0.11454548706,0.0898910536759,0.0914023422194,-0.185174616387
6,allocation_16,0.319693723826,-0.14535994788,0.162422811433,-0.0990025150611,0.0431168355719
6,allocation_17,0.317533172614,-0.153920239378,0.169639582407,-0.157388113417,0.148394201481
6,allocation_18,0.313614156993,-0.156001160128,0.166220942882,-0.168931921016,0.151923970988
6,allocation_19,0.312604866711,-0.156154878988,0.164807288581,-0.170356642045,0.147967205244
7,allocation_00,-0.196934538413,-0.277537618507,-0.217776832851,-0.177299560779,-0.2164799255
7,allocation_01,-0.200926443987,-0.277335125202,-0.221611780827,-0.178605872377,-0.223481006042
7,allocation_02,-0.219256413864,-0.27473278343,-0.213529557846,-0.153531617017,-0.143018262364
