kind,fold,stage,feature,center,scale,train_n
year_block,0,state_weather_interactions,vpd_kpa_x_previous_growth_log1p,1.2415016038,1.80146487767,74787
year_block,0,state_weather_interactions,wind_speed_m_s_x_current_growth_log1p,3.37771190048,3.92445148741,74787
year_block,0,state_weather_interactions,wind_speed_m_s_x_previous_growth_log1p,3.32779918334,3.86464035919,74787
year_block,1,autoregressive,current_growth_log1p,0.854201105986,0.835665707069,63816
year_block,1,autoregressive,previous_growth_log1p,0.846371972361,0.838229365548,63816
year_block,1,autoregressive,cumulative_log1p,1.96477712211,1.34989042718,63816
year_block,1,autoregressive,elapsed_log1p,1.67518500673,0.737407882872,63816
year_block,1,weather_only,maximum_temperature_c,26.040554093,7.23721197359,63816
year_block,1,weather_only,minimum_temperature_c,11.0852090385,7.38799674521,63816
year_block,1,weather_only,vpd_kpa,1.31186645982,0.721318267935,63816
year_block,1,weather_only,wind_speed_m_s,3.81219286699,1.59709351708,63816
year_block,1,state_plus_weather,current_growth_log1p,0.854201105986,0.835665707069,63816
year_block,1,state_plus_weather,previous_growth_log1p,0.846371972361,0.838229365548,63816
year_block,1,state_plus_weather,cumulative_log1p,1.96477712211,1.34989042718,63816
year_block,1,state_plus_weather,elapsed_log1p,1.67518500673,0.737407882872,63816
year_block,1,state_plus_weather,maximum_temperature_c,26.040554093,7.23721197359,63816
year_block,1,state_plus_weather,minimum_temperature_c,11.0852090385,7.38799674521,63816
year_block,1,state_plus_weather,vpd_kpa,1.31186645982,0.721318267935,63816
year_block,1,state_plus_weather,wind_speed_m_s,3.81219286699,1.59709351708,63816
year_block,1,state_weather_interactions,current_growth_log1p,0.854201105986,0.835665707069,63816
year_block,1,state_weather_interactions,previous_growth_log1p,0.846371972361,0.838229365548,63816
year_block,1,state_weather_interactions,cumulative_log1p,1.96477712211,1.34989042718,63816
year_block,1,state_weather_interactions,elapsed_log1p,1.67518500673,0.737407882872,63816
year_block,1,state_weather_interactions,maximum_temperature_c,26.040554093,7.23721197359,63816
year_block,1,state_weather_interactions,minimum_temperature_c,11.0852090385,7.38799674521,63816
year_block,1,state_weather_interactions,vpd_kpa,1.31186645982,0.721318267935,63816
year_block,1,state_weather_interactions,wind_speed_m_s,3.81219286699,1.59709351708,63816
year_block,1,state_weather_interactions,maximum_temperature_c_x_current_growth_log1p,22.2940355086,24.0245607799,63816
year_block,1,state_weather_interactions,maximum_temperature_c_x_previous_growth_log1p,22.0850025644,24.0926456056,63816
year_block,1,state_weather_interactions,minimum_temperature_c_x_current_growth_log1p,9.10098508041,11.8556956745,63816
year_block,1,state_weather_interactions,minimum_temperature_c_x_previous_growth_log1p,8.99530383871,11.7989479182,63816
year_block,1,state_weather_interactions,vpd_kpa_x_current_growth_log1p,1.24528468487,1.78528022844,63816
year_block,1,state_weather_interactions,vpd_kpa_x_previous_growth_log1p,1.2280479218,1.77453861075,63816
year_block,1,state_weather_interactions,wind_speed_m_s_x_current_growth_log1p,3.33578749947,3.91257172349,63816
year_block,1,state_weather_interactions,wind_speed_m_s_x_previous_growth_log1p,3.28360630027,3.84649502972,63816
year_block,2,autoregressive,current_growth_log1p,0.852623277131,0.823993883814,66633
year_block,2,autoregressive,previous_growth_log1p,0.845129749074,0.827175046804,66633
year_block,2,autoregressive,cumulative_log1p,1.97165355239,1.3377530509,66633
year_block,2,autoregressive,elapsed_log1p,1.68714904246,0.743287926581,66633
year_block,2,weather_only,maximum_temperature_c,25.7031103207,7.12939691418,66633
year_block,2,weather_only,minimum_temperature_c,11.1102299161,7.33252183814,66633
year_block,2,weather_only,vpd_kpa,1.26851575045,0.695195155154,66633
year_block,2,weather_only,wind_speed_m_s,3.78832860595,1.58570952797,66633
year_block,2,state_plus_weather,current_growth_log1p,0.852623277131,0.823993883814,66633
year_block,2,state_plus_weather,previous_growth_log1p,0.845129749074,0.827175046804,66633
year_block,2,state_plus_weather,cumulative_log1p,1.97165355239,1.3377530509,66633
year_block,2,state_plus_weather,elapsed_log1p,1.68714904246,0.743287926581,66633
year_block,2,state_plus_weather,maximum_temperature_c,25.7031103207,7.12939691418,66633
year_block,2,state_plus_weather,minimum_temperature_c,11.1102299161,7.33252183814,66633
year_block,2,state_plus_weather,vpd_kpa,1.26851575045,0.695195155154,66633
year_block,2,state_plus_weather,wind_speed_m_s,3.78832860595,1.58570952797,66633
year_block,2,state_weather_interactions,current_growth_log1p,0.852623277131,0.823993883814,66633
year_block,2,state_weather_interactions,previous_growth_log1p,0.845129749074,0.827175046804,66633
year_block,2,state_weather_interactions,cumulative_log1p,1.97165355239,1.3377530509,66633
year_block,2,state_weather_interactions,elapsed_log1p,1.68714904246,0.743287926581,66633
year_block,2,state_weather_interactions,maximum_temperature_c,25.7031103207,7.12939691418,66633
year_block,2,state_weather_interactions,minimum_temperature_c,11.1102299161,7.33252183814,66633
year_block,2,state_weather_interactions,vpd_kpa,1.26851575045,0.695195155154,66633
year_block,2,state_weather_interactions,wind_speed_m_s,3.78832860595,1.58570952797,66633
year_block,2,state_weather_interactions,maximum_temperature_c_x_current_growth_log1p,22.0361262437,23.5756298257,66633
year_block,2,state_weather_interactions,maximum_temperature_c_x_previous_growth_log1p,21.8280443043,23.6372983515,66633
year_block,2,state_weather_interactions,minimum_temperature_c_x_current_growth_log1p,9.20893020305,11.9707424271,66633
year_block,2,state_weather_interactions,minimum_temperature_c_x_previous_growth_log1p,9.09986546161,11.898826088,66633
year_block,2,state_weather_interactions,vpd_kpa_x_current_growth_log1p,1.21455372614,1.76354127178,66633
year_block,2,state_weather_interactions,vpd_kpa_x_previous_growth_log1p,1.19638646269,1.75114594908,66633
year_block,2,state_weather_interactions,wind_speed_m_s_x_current_growth_log1p,3.28118113982,3.73461552371,66633
year_block,2,state_weather_interactions,wind_speed_m_s_x_previous_growth_log1p,3.23137296155,3.67459306525,66633
year_block,3,autoregressive,current_growth_log1p,0.854991117858,0.830563645244,64803
year_block,3,autoregressive,previous_growth_log1p,0.850135196674,0.833980702149,64803
year_block,3,autoregressive,cumulative_log1p,1.96336193565,1.33191304354,64803
year_block,3,autoregressive,elapsed_log1p,1.66749759596,0.731577815877,64803
year_block,3,weather_only,maximum_temperature_c,25.8599702174,7.3164871058,64803
year_block,3,weather_only,minimum_temperature_c,10.8164074194,7.40994751854,64803
year_block,3,weather_only,vpd_kpa,1.31316559419,0.734446740772,64803
year_block,3,weather_only,wind_speed_m_s,3.81929848927,1.60412943976,64803
year_block,3,state_plus_weather,current_growth_log1p,0.854991117858,0.830563645244,64803
year_block,3,state_plus_weather,previous_growth_log1p,0.850135196674,0.833980702149,64803
year_block,3,state_plus_weather,cumulative_log1p,1.96336193565,1.33191304354,64803
year_block,3,state_plus_weather,elapsed_log1p,1.66749759596,0.731577815877,64803
year_block,3,state_plus_weather,maximum_temperature_c,25.8599702174,7.3164871058,64803
year_block,3,state_plus_weather,minimum_temperature_c,10.8164074194,7.40994751854,64803
year_block,3,state_plus_weather,vpd_kpa,1.31316559419,0.734446740772,64803
year_block,3,state_plus_weather,wind_speed_m_s,3.81929848927,1.60412943976,64803
year_block,3,state_weather_interactions,current_growth_log1p,0.854991117858,0.830563645244,64803
year_block,3,state_weather_interactions,previous_growth_log1p,0.850135196674,0.833980702149,64803
