rep,n,subspace_overlap,pc1,first_five,axis1_cosine,axis2_cosine,axis3_cosine,axis4_cosine,axis5_cosine
88,10000,0.998723370448,0.343762903375,0.896255043575,0.998597245986,0.998509466713,0.999635393184,0.999804413089,0.996891895087
89,10000,0.999475162292,0.344867073345,0.896432811237,0.999830277114,0.999852023319,0.999916055385,0.99989306375,0.998841817256
90,10000,0.995686557515,0.347794468214,0.893280221315,0.999948064139,0.999746878463,0.999746137905,0.998312615868,0.988390074591
91,10000,0.99925464751,0.341281113535,0.895361715537,0.999791986257,0.999756823727,0.999619943201,0.999055366323,0.998235555139
92,10000,0.99936509619,0.339338683596,0.892787025133,0.999932621069,0.999897345786,0.999683626611,0.997889894592,0.996869859163
93,10000,0.999319421262,0.341671200514,0.892617518855,0.99940346891,0.999354178355,0.999334219006,0.998987604904,0.998834368704
94,10000,0.99901969492,0.340415465813,0.893363489914,0.999692242338,0.999782780143,0.999627594039,0.998848896744,0.997449606713
95,10000,0.999405437793,0.345732744521,0.894049365086,0.999539452923,0.999338835491,0.999606867943,0.999742157189,0.998792436402
96,10000,0.999531104186,0.345167390258,0.898260197152,0.999619063007,0.999388812473,0.999442067091,0.999396583351,0.998877308632
97,10000,0.998070775169,0.343655376158,0.901373437625,0.999669547754,0.999638088039,0.999819340138,0.999332165244,0.995546958971
98,10000,0.999332548798,0.339794385289,0.892598282593,0.999691553171,0.999653085509,0.999713242611,0.999266934794,0.998876376794
99,10000,0.997996828003,0.341679020078,0.896661007112,0.999860095728,0.999825898674,0.999133429624,0.998776728671,0.99539473364
100,10000,0.999608868689,0.340114502182,0.891725924372,0.998554652462,0.998608198523,0.999874572371,0.999542087265,0.99946342336
101,10000,0.999195182785,0.338170038984,0.895545944056,0.999792253018,0.999727302032,0.999594169905,0.999539718463,0.998197651072
102,10000,0.999416792472,0.344864889623,0.896591580805,0.999630276228,0.999594276892,0.999756245805,0.999682981593,0.998955947228
103,10000,0.999700412009,0.339406464248,0.895267749919,0.999782733999,0.999738977002,0.99979841563,0.999567368629,0.999501819755
104,10000,0.999081952736,0.338926100825,0.891664086645,0.99734552861,0.997351493741,0.99987289636,0.999476770607,0.997886977091
105,10000,0.997909084099,0.341907126677,0.893674915227,0.999768750409,0.999697102713,0.999802137752,0.999120900799,0.994924960226
106,10000,0.99931376564,0.341061953925,0.895842909657,0.999927568651,0.999872216998,0.999924723846,0.999243776482,0.997832267908
107,10000,0.998889661896,0.3404053123,0.895395314648,0.998590427551,0.998471995319,0.99957354379,0.999312946505,0.997673306524
108,10000,0.998681413132,0.338916478187,0.895437442557,0.999778161939,0.999761442328,0.999810801071,0.999759043365,0.997049490144
109,10000,0.999266818026,0.338776480491,0.895340648661,0.999471085531,0.999500847072,0.999791557863,0.999513340009,0.99854691459
110,10000,0.999575957938,0.342279277005,0.8956171728,0.999956535052,0.999927312743,0.999895354376,0.999509616254,0.999440972554
111,10000,0.999186508265,0.343473534439,0.893787613621,0.999862564013,0.999892192062,0.999285804313,0.998386444867,0.997862608496
112,10000,0.999691381747,0.342779015045,0.89495799983,0.999416040115,0.999326934976,0.999553473371,0.999660103249,0.999404806677
113,10000,0.999179700888,0.341953245762,0.892908155456,0.999459606122,0.999452007568,0.999783723697,0.999719739493,0.998087920849
114,10000,0.998683307882,0.339739638504,0.893494425559,0.999809294924,0.999864598654,0.999905097843,0.998979475332,0.996312869608
115,10000,0.999609274354,0.339995449092,0.894293519653,0.999420938523,0.999408215996,0.999352357599,0.999659939271,0.998849758986
116,10000,0.999444404054,0.346381119113,0.8937876019,0.997355222377,0.997292143019,0.999870101946,0.999715531499,0.998779191225
117,10000,0.999456494158,0.342378502099,0.894603754889,0.999149965934,0.998956351556,0.999397292949,0.998413273486,0.998204859909
118,10000,0.999687695527,0.342967032377,0.893069523115,0.999969698141,0.999959664481,0.999571815247,0.99906716488,0.999027046026
119,10000,0.999852311186,0.341587983814,0.893696206339,0.999967185862,0.999912654549,0.999848343798,0.999640060835,0.999798970124
