null,rep,n,pc1,first_five,effective_dimension,hull_fill,occupied_fraction
dirichlet_1,68,4000,0.346896715461,0.902908321313,4.15846848831,0.766952641882,0.755
dirichlet_10,68,4000,0.354884676099,0.911606795407,4.01960943695,0.970629252117,0.9275
within_fire_permutation,69,4000,0.302381439699,0.857954413556,5.10666507238,0.869673235705,0.8225
dirichlet_1,69,4000,0.349401621657,0.903727036379,4.13440428577,0.772084728951,0.78
dirichlet_10,69,4000,0.370597772075,0.913415576461,3.92517355526,0.972035724094,0.9225
within_fire_permutation,70,4000,0.302276436041,0.858599830632,5.07919799157,0.849801358523,0.8125
dirichlet_1,70,4000,0.347433563144,0.904836955129,4.12872762178,0.750423956457,0.74
dirichlet_10,70,4000,0.363669178406,0.91094570796,3.96468670646,0.981835743635,0.9275
within_fire_permutation,71,4000,0.30859412127,0.865038568574,5.06158829887,0.841610670976,0.805
dirichlet_1,71,4000,0.357922172844,0.905058520545,4.1359183851,0.766051615067,0.77
dirichlet_10,71,4000,0.362501217951,0.909115912299,4.02307718551,0.989085121422,0.93
within_fire_permutation,72,4000,0.307833635999,0.866591045859,5.02730945759,0.870116519702,0.815
dirichlet_1,72,4000,0.356908572626,0.901276414175,4.13056583397,0.744474989561,0.7525
dirichlet_10,72,4000,0.359374652797,0.907817773085,4.02345056499,0.983061236562,0.9275
within_fire_permutation,73,4000,0.3075409404,0.863799548768,5.05200867797,0.843400257554,0.8125
dirichlet_1,73,4000,0.350637430838,0.903749559824,4.11522908384,0.786651479013,0.785
dirichlet_10,73,4000,0.355498294538,0.910266002727,4.01400420172,0.963533276609,0.925
within_fire_permutation,74,4000,0.302495935053,0.85901200358,5.064995103,0.840084610171,0.79
dirichlet_1,74,4000,0.354566189896,0.901414560734,4.13752056574,0.785236761466,0.7675
dirichlet_10,74,4000,0.360897806955,0.909136388191,3.98722431942,0.968536395,0.925
within_fire_permutation,75,4000,0.303076511011,0.863521196355,5.05862970816,0.805624651952,0.78
dirichlet_1,75,4000,0.355201952554,0.90581148247,4.08867232481,0.760876974411,0.7525
dirichlet_10,75,4000,0.366696474747,0.909903800479,3.97709971077,0.986741714066,0.925
within_fire_permutation,76,4000,0.303952164257,0.861325133747,5.07160271297,0.85413434918,0.8125
dirichlet_1,76,4000,0.354879795889,0.904567930649,4.11226567379,0.748749276893,0.755
dirichlet_10,76,4000,0.361909506909,0.911999886412,3.96836835562,0.971377708424,0.9225
within_fire_permutation,77,4000,0.306831439134,0.860992091117,5.07299511383,0.837226898293,0.7875
dirichlet_1,77,4000,0.357005901517,0.904283598132,4.1225670021,0.75768117539,0.7625
dirichlet_10,77,4000,0.362585796417,0.913839628031,3.9639008693,0.964505161188,0.905
within_fire_permutation,78,4000,0.307270305085,0.860945289241,5.06990635424,0.872198854534,0.8125
dirichlet_1,78,4000,0.351747238859,0.90202617455,4.11704668806,0.731940489061,0.74
dirichlet_10,78,4000,0.366735994954,0.913152468739,3.92753068469,0.961994333795,0.9025
within_fire_permutation,79,4000,0.300240784147,0.860259121144,5.12520712174,0.844721395352,0.7925
dirichlet_1,79,4000,0.354754966685,0.906547804754,4.06497602701,0.786798036619,0.7675
dirichlet_10,79,4000,0.365910542462,0.911551698141,3.9379115952,0.966660653791,0.9325
within_fire_permutation,80,4000,0.300486018082,0.855535896555,5.11451866275,0.851973996894,0.8125
dirichlet_1,80,4000,0.35194279908,0.90647829513,4.15236553253,0.756755492925,0.755
dirichlet_10,80,4000,0.361037299259,0.910186478366,3.98763838938,0.985019415879,0.9275
within_fire_permutation,81,4000,0.30205986773,0.861566918309,5.07404898037,0.83749230563,0.81
dirichlet_1,81,4000,0.358971060555,0.904987089019,4.08088533442,0.729386536248,0.735
dirichlet_10,81,4000,0.362245420587,0.90716112689,4.02392238874,0.986305619198,0.9375
within_fire_permutation,82,4000,0.299701915602,0.861139747741,5.10796642852,0.864939708227,0.805
dirichlet_1,82,4000,0.350133652471,0.903338301928,4.16329748515,0.756412418604,0.755
dirichlet_10,82,4000,0.365910594752,0.910370210168,3.92321223703,0.989179878017,0.9375
within_fire_permutation,83,4000,0.301688204892,0.860372194767,5.07661227394,0.807945882199,0.8025
dirichlet_1,83,4000,0.351059395097,0.901558047355,4.16020991464,0.754195372242,0.7475
dirichlet_10,83,4000,0.35712859524,0.91360382723,3.95980659834,0.973839657633,0.9325
within_fire_permutation,84,4000,0.303406637519,0.861094377738,5.07416266328,0.823645398685,0.795
dirichlet_1,84,4000,0.354843283546,0.903801164575,4.12142026325,0.75241847943,0.7575
dirichlet_10,84,4000,0.360943712556,0.908632169923,3.99027061226,0.970607793829,0.9275
within_fire_permutation,85,4000,0.314604668264,0.859585495272,5.00349883667,0.835225381046,0.7825
dirichlet_1,85,4000,0.359143182049,0.904157376068,4.10741973986,0.750354530871,0.7475
dirichlet_10,85,4000,0.355521608263,0.911293563265,3.97463989188,0.960854127695,0.925
within_fire_permutation,86,4000,0.299935415461,0.85806944292,5.09356098064,0.859142804031,0.8225
dirichlet_1,86,4000,0.358029858904,0.906759435192,4.04628455843,0.75912409352,0.755
dirichlet_10,86,4000,0.360495044408,0.913317535309,3.99240407158,0.965002844345,0.9225
within_fire_permutation,87,4000,0.304514044071,0.862291538277,5.0658739995,0.806896302813,0.8025
dirichlet_1,87,4000,0.355031238564,0.904079861821,4.11332942625,0.762071276397,0.76
dirichlet_10,87,4000,0.357154034881,0.909349651614,4.0307272979,0.990129233229,0.96
within_fire_permutation,88,4000,0.30967786587,0.859177693203,5.04908073505,0.844491880177,0.795
dirichlet_1,88,4000,0.357309551827,0.900523465887,4.13198066082,0.767615457919,0.76
dirichlet_10,88,4000,0.359433239536,0.905687543296,4.05989087972,0.975097488197,0.9275
within_fire_permutation,89,4000,0.303159541349,0.862341510654,5.07421769979,0.853818565197,0.82
dirichlet_1,89,4000,0.346147540144,0.902542083672,4.15306097929,0.754856671576,0.7525
dirichlet_10,89,4000,0.359013014766,0.911370352852,3.98663770198,0.962944666018,0.9375
within_fire_permutation,90,4000,0.306824017686,0.864660460818,5.03820924776,0.848584004083,0.8
dirichlet_1,90,4000,0.358809938429,0.903865318321,4.13147373842,0.769009595769,0.75
dirichlet_10,90,4000,0.367274135204,0.910161938809,3.99850333544,0.947944807617,0.92
within_fire_permutation,91,4000,0.305048610022,0.856114101119,5.12171807541,0.878626453485,0.825
dirichlet_1,91,4000,0.35566481702,0.906011811677,4.08786116447,0.768532744981,0.755
dirichlet_10,91,4000,0.358964192323,0.910575430956,4.00662204009,0.975014448738,0.945
within_fire_permutation,92,4000,0.305149912972,0.86094011241,5.05681413532,0.855099404999,0.82
dirichlet_1,92,4000,0.35733889754,0.904118764085,4.09428236485,0.733081460239,0.74
dirichlet_10,92,4000,0.362147170335,0.910169754845,3.95255643842,0.939619224743,0.92
